 NumElements:            1
 Element:            1
 FFD Points          300
           0             0             0
  -2.4929262697696686E-002   -0.22784169018268585         -2.5014001876115799E-002
           0             0             1
  0.26287403702735901        -0.15423674881458282         0.39936277270317078     
           0             0             2
  0.58118379116058350         -9.9876530468463898E-002    0.82373958826065063     
           0             0             3
  0.85881382226943970         -6.1828099191188812E-002     1.2481163740158081     
           0             0             4
   1.1704636812210083         -2.5093531236052513E-002     1.6724931001663208     
           0             0             5
   1.5595407485961914          2.6578390970826149E-002     2.0968699455261230     
           0             0             6
   1.8702973127365112          7.5067572295665741E-002     2.5212469100952148     
           0             0             7
   2.2065665721893311         0.13873590528964996          2.9456236362457275     
           0             0             8
   2.5077373981475830         0.20587639510631561          3.3700003623962402     
           0             0             9
   2.7923166751861572         0.27184835076332092          3.7943770885467529     
           0             1             0
  -2.4929262697696686E-002    -7.0312604308128357E-002    -2.5014001876115799E-002
           0             1             1
  0.26287403702735901         -3.4719720482826233E-002    0.39936277270317078     
           0             1             2
  0.58118379116058350         -6.6277012228965759E-003    0.82373958826065063     
           0             1             3
  0.85881382226943970          1.7978750169277191E-002     1.2481163740158081     
           0             1             4
   1.1704636812210083          4.8810563981533051E-002     1.6724931001663208     
           0             1             5
   1.5595407485961914          9.4352170825004578E-002     2.0968699455261230     
           0             1             6
   1.8702973127365112         0.13856241106987000          2.5212469100952148     
           0             1             7
   2.2065665721893311         0.19720423221588135          2.9456236362457275     
           0             1             8
   2.5077373981475830         0.26050943136215210          3.3700003623962402     
           0             1             9
   2.7923166751861572         0.32180476188659668          3.7943770885467529     
           0             2             0
  -2.4929262697696686E-002     8.7216481566429138E-002    -2.5014001876115799E-002
           0             2             1
  0.26287403702735901          8.4797307848930359E-002    0.39936277270317078     
           0             2             2
  0.58118379116058350          8.6621128022670746E-002    0.82373958826065063     
           0             2             3
  0.85881382226943970          9.7785599529743195E-002     1.2481163740158081     
           0             2             4
   1.1704636812210083         0.12271466106176376          1.6724931001663208     
           0             2             5
   1.5595407485961914         0.16212595999240875          2.0968699455261230     
           0             2             6
   1.8702973127365112         0.20205724239349365          2.5212469100952148     
           0             2             7
   2.2065665721893311         0.25567257404327393          2.9456236362457275     
           0             2             8
   2.5077373981475830         0.31514245271682739          3.3700003623962402     
           0             2             9
   2.7923166751861572         0.37176120281219482          3.7943770885467529     
           1             0             0
  0.16939648985862732        -0.22784169018268585         -2.5014001876115799E-002
           1             0             1
  0.43173611164093018        -0.15423674881458282         0.39936277270317078     
           1             0             2
  0.72221022844314575         -9.9876530468463898E-002    0.82373958826065063     
           1             0             3
  0.98103713989257812         -6.1828099191188812E-002     1.2481163740158081     
           1             0             4
   1.2815324068069458         -2.5093531236052513E-002     1.6724931001663208     
           1             0             5
   1.6567223072052002          2.6578390970826149E-002     2.0968699455261230     
           1             0             6
   1.9563915729522705          7.5067572295665741E-002     2.5212469100952148     
           1             0             7
   2.2799079418182373         0.13873590528964996          2.9456236362457275     
           1             0             8
   2.5703213214874268         0.20587639510631561          3.3700003623962402     
           1             0             9
   2.8458740711212158         0.27184835076332092          3.7943770885467529     
           1             1             0
  0.16939648985862732         -7.0312604308128357E-002    -2.5014001876115799E-002
           1             1             1
  0.43173611164093018         -3.4719720482826233E-002    0.39936277270317078     
           1             1             2
  0.72221022844314575         -6.6277012228965759E-003    0.82373958826065063     
           1             1             3
  0.98103713989257812          1.7978750169277191E-002     1.2481163740158081     
           1             1             4
   1.2815324068069458          4.8810563981533051E-002     1.6724931001663208     
           1             1             5
   1.6567223072052002          9.4352170825004578E-002     2.0968699455261230     
           1             1             6
   1.9563915729522705         0.13856241106987000          2.5212469100952148     
           1             1             7
   2.2799079418182373         0.19720423221588135          2.9456236362457275     
           1             1             8
   2.5703213214874268         0.26050943136215210          3.3700003623962402     
           1             1             9
   2.8458740711212158         0.32180476188659668          3.7943770885467529     
           1             2             0
  0.16939648985862732          8.7216481566429138E-002    -2.5014001876115799E-002
           1             2             1
  0.43173611164093018          8.4797307848930359E-002    0.39936277270317078     
           1             2             2
  0.72221022844314575          8.6621128022670746E-002    0.82373958826065063     
           1             2             3
  0.98103713989257812          9.7785599529743195E-002     1.2481163740158081     
           1             2             4
   1.2815324068069458         0.12271466106176376          1.6724931001663208     
           1             2             5
   1.6567223072052002         0.16212595999240875          2.0968699455261230     
           1             2             6
   1.9563915729522705         0.20205724239349365          2.5212469100952148     
           1             2             7
   2.2799079418182373         0.25567257404327393          2.9456236362457275     
           1             2             8
   2.5703213214874268         0.31514245271682739          3.3700003623962402     
           1             2             9
   2.8458740711212158         0.37176120281219482          3.7943770885467529     
           2             0             0
  0.36372223496437073        -0.22784169018268585         -2.5014001876115799E-002
           2             0             1
  0.60059821605682373        -0.15423674881458282         0.39936277270317078     
           2             0             2
  0.86323666572570801         -9.9876530468463898E-002    0.82373958826065063     
           2             0             3
   1.1032603979110718         -6.1828099191188812E-002     1.2481163740158081     
           2             0             4
   1.3926010131835938         -2.5093531236052513E-002     1.6724931001663208     
           2             0             5
   1.7539038658142090          2.6578390970826149E-002     2.0968699455261230     
           2             0             6
   2.0424859523773193          7.5067572295665741E-002     2.5212469100952148     
           2             0             7
   2.3532493114471436         0.13873590528964996          2.9456236362457275     
           2             0             8
   2.6329050064086914         0.20587639510631561          3.3700003623962402     
           2             0             9
   2.8994314670562744         0.27184835076332092          3.7943770885467529     
           2             1             0
  0.36372223496437073         -7.0312604308128357E-002    -2.5014001876115799E-002
           2             1             1
  0.60059821605682373         -3.4719720482826233E-002    0.39936277270317078     
           2             1             2
  0.86323666572570801         -6.6277012228965759E-003    0.82373958826065063     
           2             1             3
   1.1032603979110718          1.7978750169277191E-002     1.2481163740158081     
           2             1             4
   1.3926010131835938          4.8810563981533051E-002     1.6724931001663208     
           2             1             5
   1.7539038658142090          9.4352170825004578E-002     2.0968699455261230     
           2             1             6
   2.0424859523773193         0.13856241106987000          2.5212469100952148     
           2             1             7
   2.3532493114471436         0.19720423221588135          2.9456236362457275     
           2             1             8
   2.6329050064086914         0.26050943136215210          3.3700003623962402     
           2             1             9
   2.8994314670562744         0.32180476188659668          3.7943770885467529     
           2             2             0
  0.36372223496437073          8.7216481566429138E-002    -2.5014001876115799E-002
           2             2             1
  0.60059821605682373          8.4797307848930359E-002    0.39936277270317078     
           2             2             2
  0.86323666572570801          8.6621128022670746E-002    0.82373958826065063     
           2             2             3
   1.1032603979110718          9.7785599529743195E-002     1.2481163740158081     
           2             2             4
   1.3926010131835938         0.12271466106176376          1.6724931001663208     
           2             2             5
   1.7539038658142090         0.16212595999240875          2.0968699455261230     
           2             2             6
   2.0424859523773193         0.20205724239349365          2.5212469100952148     
           2             2             7
   2.3532493114471436         0.25567257404327393          2.9456236362457275     
           2             2             8
   2.6329050064086914         0.31514245271682739          3.3700003623962402     
           2             2             9
   2.8994314670562744         0.37176120281219482          3.7943770885467529     
           3             0             0
  0.55804795026779175        -0.22784169018268585         -2.5014001876115799E-002
           3             0             1
  0.76946020126342773        -0.15423674881458282         0.39936277270317078     
           3             0             2
   1.0042631626129150         -9.9876530468463898E-002    0.82373958826065063     
           3             0             3
   1.2254836559295654         -6.1828099191188812E-002     1.2481163740158081     
           3             0             4
   1.5036697387695312         -2.5093531236052513E-002     1.6724931001663208     
           3             0             5
   1.8510853052139282          2.6578390970826149E-002     2.0968699455261230     
           3             0             6
   2.1285800933837891          7.5067572295665741E-002     2.5212469100952148     
           3             0             7
   2.4265906810760498         0.13873590528964996          2.9456236362457275     
           3             0             8
   2.6954889297485352         0.20587639510631561          3.3700003623962402     
           3             0             9
   2.9529888629913330         0.27184835076332092          3.7943770885467529     
           3             1             0
  0.55804795026779175         -7.0312604308128357E-002    -2.5014001876115799E-002
           3             1             1
  0.76946020126342773         -3.4719720482826233E-002    0.39936277270317078     
           3             1             2
   1.0042631626129150         -6.6277012228965759E-003    0.82373958826065063     
           3             1             3
   1.2254836559295654          1.7978750169277191E-002     1.2481163740158081     
           3             1             4
   1.5036697387695312          4.8810563981533051E-002     1.6724931001663208     
           3             1             5
   1.8510853052139282          9.4352170825004578E-002     2.0968699455261230     
           3             1             6
   2.1285800933837891         0.13856241106987000          2.5212469100952148     
           3             1             7
   2.4265906810760498         0.19720423221588135          2.9456236362457275     
           3             1             8
   2.6954889297485352         0.26050943136215210          3.3700003623962402     
           3             1             9
   2.9529888629913330         0.32180476188659668          3.7943770885467529     
           3             2             0
  0.55804795026779175          8.7216481566429138E-002    -2.5014001876115799E-002
           3             2             1
  0.76946020126342773          8.4797307848930359E-002    0.39936277270317078     
           3             2             2
   1.0042631626129150          8.6621128022670746E-002    0.82373958826065063     
           3             2             3
   1.2254836559295654          9.7785599529743195E-002     1.2481163740158081     
           3             2             4
   1.5036697387695312         0.12271466106176376          1.6724931001663208     
           3             2             5
   1.8510853052139282         0.16212595999240875          2.0968699455261230     
           3             2             6
   2.1285800933837891         0.20205724239349365          2.5212469100952148     
           3             2             7
   2.4265906810760498         0.25567257404327393          2.9456236362457275     
           3             2             8
   2.6954889297485352         0.31514245271682739          3.3700003623962402     
           3             2             9
   2.9529888629913330         0.37176120281219482          3.7943770885467529     
           4             0             0
  0.75237369537353516        -0.22784169018268585         -2.5014001876115799E-002
           4             0             1
  0.93832230567932129        -0.15423674881458282         0.39936277270317078     
           4             0             2
   1.1452895402908325         -9.9876530468463898E-002    0.82373958826065063     
           4             0             3
   1.3477070331573486         -6.1828099191188812E-002     1.2481163740158081     
           4             0             4
   1.6147384643554688         -2.5093531236052513E-002     1.6724931001663208     
           4             0             5
   1.9482668638229370          2.6578390970826149E-002     2.0968699455261230     
           4             0             6
   2.2146744728088379          7.5067572295665741E-002     2.5212469100952148     
           4             0             7
   2.4999318122863770         0.13873590528964996          2.9456236362457275     
           4             0             8
   2.7580728530883789         0.20587639510631561          3.3700003623962402     
           4             0             9
   3.0065462589263916         0.27184835076332092          3.7943770885467529     
           4             1             0
  0.75237369537353516         -7.0312604308128357E-002    -2.5014001876115799E-002
           4             1             1
  0.93832230567932129         -3.4719720482826233E-002    0.39936277270317078     
           4             1             2
   1.1452895402908325         -6.6277012228965759E-003    0.82373958826065063     
           4             1             3
   1.3477070331573486          1.7978750169277191E-002     1.2481163740158081     
